FilmID,Title,RunTimeMinutes,Genre
418,Beauty and the Beast,84,Animation
419,Hook,144,Adventure
420,The Silence of the Lambs,118,Thriller
421,JFK,188,Thriller
422,The Addams Family,99,Comedy
423,Cape Fear,128,Thriller
424,Hot Shots!,84,Comedy
425,City Slickers,112,Comedy
426,Ghost,127,Romance
427,Home Alone,102,Comedy
428,Pretty Woman,119,Romance
430,Teenage Mutant Ninja Turtles,93,Action
431,Batman,126,Action
432,Look Who's Talking,96,Comedy
433,Dead Poets Society,128,Drama
434,"Honey, I Shrunk the Kids",94,Adventure
435,Ghostbusters II,108,Comedy
436,The Little Mermaid,82,Animation
437,Born on the Fourth of July,145,Biography
438,Rain Man,133,Drama
439,Coming to America,117,Comedy
440,Big,104,Comedy
441,Crocodile Dundee II,112,Adventure
442,The Naked Gun: From the Files of Police Squad!,85,Comedy
443,Cocktail,103,Romance
444,Beetlejuice,92,Comedy
445,Three Men and a Baby,104,Comedy
446,Fatal Attraction,119,Thriller
447,Beverly Hills Cop II,103,Action
448,"Good Morning, Vietnam",120,Comedy
449,Moonstruck,102,Romance
450,The Secret of My Success,111,Comedy
451,Stakeout,117,Comedy
452,The Witches of Eastwick,118,Comedy
453,Top Gun,110,Action
454,Crocodile Dundee,98,Comedy
455,Platoon,120,War
456,"The Karate Kid, Part II",113,Drama
458,The Golden Child,94,Adventure
460,Ferris Bueller's Day Off,103,Comedy
461,Rambo: First Blood Part II,96,Action
462,Rocky IV,91,Sport
463,The Color Purple,153,Drama
464,Out Of Africa,161,Romance
465,Cocoon,117,Science Fiction
466,The Jewel of the Nile,107,Adventure
468,The Goonies,114,Adventure
469,Spies Like Us,102,Comedy
470,Beverly Hills Cop,105,Action
472,Gremlins,106,Comedy
473,The Karate Kid,127,Drama
474,Police Academy,96,Comedy
475,Footloose,110,Drama
476,Romancing the Stone,106,Adventure
477,Terms of Endearment,132,Drama
478,Flashdance,98,Drama
479,Trading Places,116,Comedy
480,WarGames,114,Thriller
481,Sudden Impact,117,Thriller
482,Staying Alive,93,Drama
485,Tootsie,116,Comedy
486,An Officer and a Gentleman,122,Drama
487,Rocky III,100,Sport
488,Porky's,98,Comedy
489,48 Hrs.,96,Action
490,Poltergeist,114,Horror
492,Annie,128,Musical
494,Superman II,127,Action
495,Arthur,97,Comedy
497,The Cannonball Run,95,Comedy
498,Chariots of Fire,124,Sport
500,Time Bandits,113,Fantasy
501,9 to 5,110,Comedy
502,Stir Crazy,111,Comedy
503,Airplane!,87,Comedy
504,Any Which Way You Can,116,Action
505,Private Benjamin,109,Comedy
507,Smokey and the Bandit II,100,Comedy
509,The Blues Brothers,132,Comedy
510,Kramer vs. Kramer,105,Drama
511,The Amityville Horror,118,Horror
512,Rocky II,119,Drama
513,Apocalypse Now,153,War
514,10,122,Romantic Comedy
515,The Jerk,94,Comedy
516,The Muppet Movie,97,Family
517,Grease,110,Musical
518,National Lampoon's Animal House,109,Comedy
519,Every Which Way but Loose,114,Action
522,Jaws 2,116,Thriller
523,Dawn of the Dead,127,Horror
524,Revenge of the Pink Panther,98,Comedy
525,The Deer Hunter,183,Drama
526,Smokey and the Bandit,96,Comedy
527,Close Encounters of the Third Kind,135,Science Fiction
529,Saturday Night Fever,118,Drama
531,A Bridge Too Far,176,War
532,The Deep,124,Adventure
533,Annie Hall,93,Romantic Comedy
534,Rocky,119,Drama
537,All the President's Men,138,Thriller
538,The Omen,111,Horror
540,Silver Streak,114,Comedy
